antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'American (New)'}),frozenset({'Bars'}),0.16925970764505188,0.22306822615986474,0.08435470799523748,0.4983744162676597,2.234179312971688,1.0,0.04659824525051846,1.548828048321184,0.6649591422992003,0.2739027322049316,0.3543505355007442,0.43826547680393524
frozenset({'Cocktail Bars'}),frozenset({'American (New)'}),0.055739541957237335,0.16925970764505188,0.034698390146777794,0.6225094238018309,3.677835868104368,1.0,0.025263931570826702,2.200691473470954,0.7710806538258363,0.18233438485804415,0.5455973669844827,0.4137551552419334
frozenset({'American (New)'}),frozenset({'Nightlife'}),0.16925970764505188,0.2372657508479494,0.08877705183747386,0.5245019802565467,2.2106097419541655,1.0,0.04861752021476623,1.6040745018529639,0.6592145885496329,0.2793941683985138,0.37658755946507516,0.44933456944850614
frozenset({'American (New)'}),frozenset({'Restaurants'}),0.16925970764505188,0.7231032447197014,0.16925970764505188,1.0,1.3829283816692495,1.0,0.04686746384660681,inf,0.33331326026737323,0.23407405357538189,1.0,0.6170370267876909
frozenset({'American (Traditional)'}),frozenset({'Bars'}),0.1388736030095951,0.22306822615986474,0.06480434630354087,0.4666426512968299,2.091927924160765,1.0,0.03382605801976124,1.4566814833042112,0.6061503398513315,0.2180954946461041,0.3135081268887377,0.37857810968070915
frozenset({'American (Traditional)'}),frozenset({'Nightlife'}),0.1388736030095951,0.2372657508479494,0.06767586821015138,0.4873198847262248,2.053898984512608,1.0,0.034725918519119756,1.4877390919379514,0.5958720344787704,0.21939669153421992,0.32783913159303696,0.3862761184616196
frozenset({'American (Traditional)'}),frozenset({'Restaurants'}),0.1388736030095951,0.7231032447197014,0.1388736030095951,1.0,1.3829283816692495,1.0,0.038453650067441184,inf,0.3215518142842204,0.19205224706663715,1.0,0.5960261235333186
frozenset({'Music Venues'}),frozenset({'Arts & Entertainment'}),0.020811029845818285,0.058931233553783505,0.020811029845818285,1.0,16.96893039049236,1.0,0.01958461018547961,inf,0.961069614885508,0.3531409168081494,1.0,0.6765704584040747
frozenset({'Arts & Entertainment'}),frozenset({'Nightlife'}),0.058931233553783505,0.2372657508479494,0.033547780323571495,0.569269949066214,2.399292552893687,1.0,0.01956541694603718,1.770794137763334,0.6197320506588131,0.12772846748695288,0.4352816181879355,0.35533160943232267
frozenset({'Arts & Entertainment'}),frozenset({'Restaurants'}),0.058931233553783505,0.7231032447197014,0.024192822195763755,0.4105263157894737,0.5677284935273761,1.0,-0.01842054400231164,0.46973556699336355,-0.4472346081225052,0.03192332065906211,-1.1288573194503875,0.2219916281183366
frozenset({'Asian Fusion'}),frozenset({'Restaurants'}),0.02431288582948963,0.7231032447197014,0.02431288582948963,1.0,1.3829283816692495,1.0,0.006732159197686029,inf,0.28379667134961084,0.03362297985388532,1.0,0.5168114899269427
frozenset({'Bakeries'}),frozenset({'Food'}),0.03636927571612955,0.30664252053588403,0.03636927571612955,1.0,3.261126337770817,1.0,0.025216909340471067,inf,0.7195261234321788,0.11860480292351866,1.0,0.5593024014617594
frozenset({'Bakeries'}),frozenset({'Restaurants'}),0.03636927571612955,0.7231032447197014,0.030336078121404344,0.8341127922971113,1.1535182539810631,1.0,0.004037336842965623,1.6691869078671389,0.1381099322978683,0.041605488850771866,0.40090591695463,0.4380327078598685
frozenset({'Barbeque'}),frozenset({'Restaurants'}),0.027184407736100133,0.7231032447197014,0.027184407736100133,1.0,1.3829283816692495,1.0,0.007527274296342774,inf,0.2846343721073743,0.03759408899712198,1.0,0.518797044498561
