support,itemsets
0.026454020630934397,frozenset({'Active Life'})
0.16925970764505188,frozenset({'American (New)'})
0.1388736030095951,frozenset({'American (Traditional)'})
0.058931233553783505,frozenset({'Arts & Entertainment'})
0.02431288582948963,frozenset({'Asian Fusion'})
0.020470849550261638,frozenset({'Automotive'})
0.03636927571612955,frozenset({'Bakeries'})
0.027184407736100133,frozenset({'Barbeque'})
0.22306822615986474,frozenset({'Bars'})
0.04880586710956807,frozenset({'Beauty & Spas'})
0.03764995447587221,frozenset({'Beer'})
0.020030616226600097,frozenset({'Beer Bar'})
0.1458472990685063,frozenset({'Breakfast & Brunch'})
0.020080642740652545,frozenset({'Breweries'})
0.06822615986472831,frozenset({'Burgers'})
0.058631074469468816,frozenset({'Cafes'})
0.04426345963360581,frozenset({'Cajun/Creole'})
0.030576205388856095,frozenset({'Caterers'})
0.029355558445976367,frozenset({'Chinese'})
0.055739541957237335,frozenset({'Cocktail Bars'})
0.0817433239616997,frozenset({'Coffee & Tea'})
0.03477843256926171,frozenset({'Desserts'})
0.020771008634576326,frozenset({'Diners'})
0.09772179255005153,frozenset({'Event Planning & Services'})
0.02272204268262179,frozenset({'Fast Food'})
0.30664252053588403,frozenset({'Food'})
0.020530881367124575,frozenset({'French'})
0.03930082943960299,frozenset({'Hotels'})
0.0561597646752779,frozenset({'Hotels & Travel'})
0.031076470529380572,frozenset({'Ice Cream & Frozen Yogurt'})
0.0634336198185038,frozenset({'Italian'})
0.03422814091468478,frozenset({'Japanese'})
0.02299218585850501,frozenset({'Juice Bars & Smoothies'})
0.020320770008104297,frozenset({'Lounges'})
0.02111118893013297,frozenset({'Mediterranean'})
0.06594495082393668,frozenset({'Mexican'})
0.020811029845818285,frozenset({'Music Venues'})
0.2372657508479494,frozenset({'Nightlife'})
0.06917666363172481,frozenset({'Pizza'})
0.036869540856654025,frozenset({'Pubs'})
0.7231032447197014,frozenset({'Restaurants'})
0.046994907300869464,frozenset({'Salad'})
0.10300459243399002,frozenset({'Sandwiches'})
0.0796422103714969,frozenset({'Seafood'})
0.06173271834072058,frozenset({'Shopping'})
0.03134661370526379,frozenset({'Southern'})
0.0410117362201967,frozenset({'Specialty Food'})
0.02632395169439803,frozenset({'Sports Bars'})
0.02570362292014768,frozenset({'Steakhouses'})
0.035548840885669404,frozenset({'Sushi Bars'})
0.02199165557745605,frozenset({'Thai'})
0.02705433879956377,frozenset({'Vegetarian'})
0.03810019310234424,frozenset({'Venues & Event Spaces'})
0.03764995447587221,frozenset({'Wine & Spirits'})
0.026634116081523208,frozenset({'Wine Bars'})
0.049916455721532416,"frozenset({'American (Traditional)', 'American (New)'})"
0.08435470799523748,"frozenset({'Bars', 'American (New)'})"
0.05644991845678209,"frozenset({'Breakfast & Brunch', 'American (New)'})"
0.034698390146777794,"frozenset({'Cocktail Bars', 'American (New)'})"
0.053208200346183475,"frozenset({'American (New)', 'Food'})"
0.08877705183747386,"frozenset({'American (New)', 'Nightlife'})"
0.16925970764505188,"frozenset({'Restaurants', 'American (New)'})"
0.022631994957327383,"frozenset({'American (New)', 'Sandwiches'})"
0.024603039610993825,"frozenset({'American (New)', 'Seafood'})"
0.06480434630354087,"frozenset({'American (Traditional)', 'Bars'})"
0.03542877725194353,"frozenset({'American (Traditional)', 'Breakfast & Brunch'})"
0.02478313506158264,"frozenset({'American (Traditional)', 'Burgers'})"
0.04564419142145337,"frozenset({'American (Traditional)', 'Food'})"
0.06767586821015138,"frozenset({'American (Traditional)', 'Nightlife'})"
0.1388736030095951,"frozenset({'American (Traditional)', 'Restaurants'})"
0.020090648043463034,"frozenset({'American (Traditional)', 'Sandwiches'})"
0.022872122224779134,"frozenset({'Bars', 'Arts & Entertainment'})"
0.020811029845818285,"frozenset({'Arts & Entertainment', 'Music Venues'})"
0.033547780323571495,"frozenset({'Arts & Entertainment', 'Nightlife'})"
0.024192822195763755,"frozenset({'Arts & Entertainment', 'Restaurants'})"
0.02431288582948963,"frozenset({'Restaurants', 'Asian Fusion'})"
0.03636927571612955,"frozenset({'Bakeries', 'Food'})"
0.030336078121404344,"frozenset({'Restaurants', 'Bakeries'})"
0.027184407736100133,"frozenset({'Restaurants', 'Barbeque'})"
0.02341240857654557,"frozenset({'Beer', 'Bars'})"
0.020030616226600097,"frozenset({'Bars', 'Beer Bar'})"
0.04621449368165127,"frozenset({'Bars', 'Breakfast & Brunch'})"
0.027194413038910622,"frozenset({'Bars', 'Burgers'})"
0.055739541957237335,"frozenset({'Cocktail Bars', 'Bars'})"
0.06693547580217515,"frozenset({'Bars', 'Food'})"
0.020320770008104297,"frozenset({'Bars', 'Lounges'})"
0.22306822615986474,"frozenset({'Bars', 'Nightlife'})"
0.036869540856654025,"frozenset({'Pubs', 'Bars'})"
0.19764475171841075,"frozenset({'Bars', 'Restaurants'})"
0.022341841175823187,"frozenset({'Bars', 'Sandwiches'})"
0.03762994387025123,"frozenset({'Bars', 'Seafood'})"
0.02632395169439803,"frozenset({'Bars', 'Sports Bars'})"
0.02341240857654557,"frozenset({'Bars', 'Wine & Spirits'})"
0.026634116081523208,"frozenset({'Bars', 'Wine Bars'})"
0.03764995447587221,"frozenset({'Beer', 'Food'})"
0.023932684322691026,"frozenset({'Beer', 'Nightlife'})"
0.025613575194853272,"frozenset({'Beer', 'Restaurants'})"
0.03764995447587221,"frozenset({'Beer', 'Wine & Spirits'})"
0.020030616226600097,"frozenset({'Beer Bar', 'Nightlife'})"
0.03556885149129038,"frozenset({'Breakfast & Brunch', 'Cafes'})"
0.021561427556605,"frozenset({'Cajun/Creole', 'Breakfast & Brunch'})"
0.02479314036439313,"frozenset({'Cocktail Bars', 'Breakfast & Brunch'})"
0.03456832121024143,"frozenset({'Breakfast & Brunch', 'Coffee & Tea'})"
0.0697669764975437,"frozenset({'Breakfast & Brunch', 'Food'})"
0.047795331525708626,"frozenset({'Breakfast & Brunch', 'Nightlife'})"
0.1458472990685063,"frozenset({'Restaurants', 'Breakfast & Brunch'})"
0.04401332706334357,"frozenset({'Breakfast & Brunch', 'Sandwiches'})"
0.020080642740652545,"frozenset({'Breweries', 'Food'})"
0.025643591103284742,"frozenset({'Burgers', 'Food'})"
0.027194413038910622,"frozenset({'Burgers', 'Nightlife'})"
0.06822615986472831,"frozenset({'Burgers', 'Restaurants'})"
0.023482445696218997,"frozenset({'Cafes', 'Coffee & Tea'})"
0.038000140074239346,"frozenset({'Cafes', 'Food'})"
0.058631074469468816,"frozenset({'Restaurants', 'Cafes'})"
0.04426345963360581,"frozenset({'Cajun/Creole', 'Restaurants'})"
0.025803675948252575,"frozenset({'Cajun/Creole', 'Seafood'})"
0.030576205388856095,"frozenset({'Caterers', 'Event Planning & Services'})"
0.02746455621479384,"frozenset({'Restaurants', 'Caterers'})"
0.029355558445976367,"frozenset({'Chinese', 'Restaurants'})"
0.055739541957237335,"frozenset({'Cocktail Bars', 'Nightlife'})"
0.05258787157193313,"frozenset({'Cocktail Bars', 'Restaurants'})"
0.0817433239616997,"frozenset({'Coffee & Tea', 'Food'})"
0.06824617047034928,"frozenset({'Restaurants', 'Coffee & Tea'})"
0.03477843256926171,"frozenset({'Desserts', 'Food'})"
0.023682551752428786,"frozenset({'Desserts', 'Restaurants'})"
0.020771008634576326,"frozenset({'Restaurants', 'Diners'})"
0.02361251463275536,"frozenset({'Food', 'Event Planning & Services'})"
0.03930082943960299,"frozenset({'Event Planning & Services', 'Hotels'})"
0.04250252633895965,"frozenset({'Hotels & Travel', 'Event Planning & Services'})"
0.05137722993186389,"frozenset({'Restaurants', 'Event Planning & Services'})"
0.03810019310234424,"frozenset({'Venues & Event Spaces', 'Event Planning & Services'})"
0.02272204268262179,"frozenset({'Fast Food', 'Restaurants'})"
0.031076470529380572,"frozenset({'Ice Cream & Frozen Yogurt', 'Food'})"
0.02064093969803996,"frozenset({'Italian', 'Food'})"
0.02299218585850501,"frozenset({'Juice Bars & Smoothies', 'Food'})"
